tier,id,P_i,recommend_role
high,A3,0.687857142857143,必选
high,A7,0.6102857142857142,必选
high,A2,0.5725714285714285,必选
high,A1,0.5677142857142857,必选
mid,A10,0.5377142857142857,推荐
mid,A8,0.5187142857142858,推荐
mid,A5,0.5057142857142858,推荐
low,A9,0.45628571428571424,备选
low,A6,0.45057142857142857,备选
low,A4,0.36,备选
