n_spots,rank_by_buffer,plan_id,R,P_fail,CI_95,n_fail,Z1,Z2,Z3,Z4,Z4_mean,selected,selected_by_day,buffers,Tks,P_fail_day1,P_fail_day2,P_fail_day3,P_fail_day4,P_fail_day5
5,16,S5_buffer_rank16,0.3788,0.6212,0.013445958852354115,3106,37.4,5.0,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A8,A3,A10,A5,A7","4.1000,7.9000,7.5000,7.3000,3.7000","5.4000,4.6000,5.0000,5.2000,4.3000",0.2052,0.0262,0.046,0.0636,0.4508
5,17,S5_buffer_rank17,0.41279999999999994,0.5872,0.01364689772993115,2936,37.4,5.0,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A10,A5,A8,A3,A7","4.5000,7.3000,7.1000,7.9000,3.7000","5.0000,5.2000,5.4000,4.6000,4.3000",0.0958,0.0602,0.071,0.0298,0.4586
5,18,S5_buffer_rank18,0.4204,0.5796,0.013682536371184986,2898,37.4,5.0,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A10,A5,A3,A8,A7","4.5000,7.3000,7.9000,7.1000,3.7000","5.0000,5.2000,4.6000,5.4000,4.3000",0.0986,0.058,0.0322,0.0722,0.4446
5,19,S5_buffer_rank19,0.3842,0.6158,0.013482474008697365,3079,37.4,5.0,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A8,A10,A3,A5,A7","4.1000,7.5000,7.9000,7.3000,3.7000","5.4000,5.0000,4.6000,5.2000,4.3000",0.2056,0.0472,0.0308,0.0582,0.4452
5,20,S5_buffer_rank20,0.41579999999999995,0.5842,0.013661364785232843,2921,37.4,5.0,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A10,A3,A8,A5,A7","4.5000,7.9000,7.1000,7.3000,3.7000","5.0000,4.6000,5.4000,5.2000,4.3000",0.098,0.0298,0.0702,0.0628,0.4456
6,1,S6_buffer_rank01,0.07440000000000002,0.9256,0.007273931550736508,4628,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A10,A3,A9,A8,A7","4.3000,7.5000,7.9000,3.8000,3.7000","5.2000,5.0000,4.6000,8.7000,4.3000",0.2542,0.0438,0.0246,0.8024,0.4392
6,2,S6_buffer_rank02,0.053200000000000025,0.9468,0.006220939961388472,4734,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A3,A10,A8,A9,A7","4.3000,7.9000,7.5000,3.8000,3.7000","5.2000,4.6000,5.0000,8.7000,4.3000",0.2464,0.0252,0.046,0.8642,0.4478
6,3,S6_buffer_rank03,0.07420000000000004,0.9258,0.007264932943613453,4629,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A3,A10,A9,A8,A7","4.3000,7.9000,7.5000,3.8000,3.7000","5.2000,4.6000,5.0000,8.7000,4.3000",0.2588,0.0262,0.0482,0.8028,0.4388
6,4,S6_buffer_rank04,0.07420000000000004,0.9258,0.007264932943613453,4629,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A9,A8,A10,A3,A7","4.3000,3.8000,7.5000,7.9000,3.7000","5.2000,8.7000,5.0000,4.6000,4.3000",0.253,0.8062,0.0542,0.025,0.4524
6,5,S6_buffer_rank05,0.047599999999999976,0.9524,0.005901796614320082,4762,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A8,A9,A3,A10,A7","4.3000,3.8000,7.9000,7.5000,3.7000","5.2000,8.7000,4.6000,5.0000,4.3000",0.2578,0.8716,0.0288,0.0438,0.4484
6,6,S6_buffer_rank06,0.07720000000000005,0.9228,0.00739832681970728,4614,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A10,A9,A8,A3,A7","4.3000,7.5000,3.8000,7.9000,3.7000","5.2000,5.0000,8.7000,4.6000,4.3000",0.2624,0.0472,0.8014,0.0296,0.4424
6,7,S6_buffer_rank07,0.07440000000000002,0.9256,0.007273931550736508,4628,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A3,A9,A8,A10,A7","4.3000,7.9000,3.8000,7.5000,3.7000","5.2000,4.6000,8.7000,5.0000,4.3000",0.2586,0.026,0.8036,0.0474,0.4394
6,8,S6_buffer_rank08,0.054400000000000004,0.9456,0.006286721922019456,4728,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A10,A8,A9,A3,A7","4.3000,7.5000,3.8000,7.9000,3.7000","5.2000,5.0000,8.7000,4.6000,4.3000",0.26,0.0466,0.874,0.028,0.4298
6,9,S6_buffer_rank09,0.07420000000000004,0.9258,0.007264932943613453,4629,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A9,A8,A3,A10,A7","4.3000,3.8000,7.9000,7.5000,3.7000","5.2000,8.7000,4.6000,5.0000,4.3000",0.2556,0.8006,0.0294,0.045,0.4492
6,10,S6_buffer_rank10,0.050799999999999956,0.9492,0.006086698503721042,4746,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A8,A9,A10,A3,A7","4.3000,3.8000,7.5000,7.9000,3.7000","5.2000,8.7000,5.0000,4.6000,4.3000",0.2592,0.8692,0.0494,0.0252,0.441
6,11,S6_buffer_rank11,0.049799999999999955,0.9502,0.0060296659664694505,4751,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A10,A3,A8,A9,A7","4.3000,7.5000,7.9000,3.8000,3.7000","5.2000,5.0000,4.6000,8.7000,4.3000",0.2408,0.043,0.0278,0.864,0.445
6,12,S6_buffer_rank12,0.05359999999999998,0.9464,0.006242963989388372,4732,44.4,5.8,2.562399999999998,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A5,A3,A8,A9,A10,A7","4.3000,7.9000,3.8000,7.5000,3.7000","5.2000,4.6000,8.7000,5.0000,4.3000",0.261,0.0262,0.868,0.0452,0.4356
6,13,S6_buffer_rank13,0.06120000000000003,0.9388,0.006644056557495581,4694,44.4,5.8,2.5623999999999985,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A3,A5,A10,A8,A9,A7","4.9000,7.3000,7.5000,3.8000,3.7000","4.6000,5.2000,5.0000,8.7000,4.3000",0.0764,0.0574,0.0492,0.8688,0.4462
